care_p,fairness_p,loyalty_p,authority_p,sanctity_p,care_sent,fairness_sent,loyalty_sent,authority_sent,sanctity_sent,moral_nonmoral_ratio,f_var,sent_var
0.07719302507678755,0.02720645820582556,0.021362754027889584,0.031302892951823647,0.002394543132518232,-0.08348505933848602,-0.009628617668682789,0.0019190913674796389,-0.01830653872405334,-0.00016103235333601808,2.4177215189873418,0.0007638623010989292,0.0012490364727357013
0.06464962124102856,0.01602101752791023,0.029611088629865282,0.02814420525605994,0.0024091134251842464,-0.08310335076262124,-0.0028639661811880805,-0.010275027675080263,-0.01587162287003603,-0.0018720232558139531,1.6699029126213591,0.0005360152938001417,0.0011691992675932252
0.05665251939810464,0.0341860464828152,0.025005553936439773,0.021561316856345235,0.01677980209425723,-0.09363864795804075,-0.013310052736756485,-0.0012129026568809041,-0.012562399521898812,-0.017462702563257965,0.7914110429447853,0.000248826507015371,0.001397617944695875
0.024517553301347954,0.025493864913433063,0.02183260888354114,0.04109222454590025,0.012537191425464257,-0.032877502616277234,0.0018716175538486157,0.0044393735526590036,0.00024356490725369994,-0.005170843811538256,1.051948051948052,0.00010618637064688309,0.00023314158768743344
0.03574863019153166,0.028048108571723313,0.02845590449141414,0.036979054334661116,0.006093409864005834,-0.03226987878710246,-0.018531171334240315,0.0036110561304618775,-0.0037831162967361426,-0.0025141917022349406,1.46448087431694,0.0001541006543129359,0.0002115609870825236
0.035989101508190055,0.04174615402504874,0.03432019678680375,0.031406261247265255,0.01369232189525097,-0.04676888958771613,-0.03330398357280332,-0.0038289436547370203,-0.01051342102133348,-0.003590269537481835,1.2119205298013245,0.00011254686567901097,0.0003783878315976063
0.06061522717800791,0.03137202303213302,0.021322176702201625,0.03070091125024164,0.011117939827682761,0.00029407295109083894,0.004749415984227372,0.0005426596325443667,-0.00041301640393819197,0.001969813700147415,2.098159509202454,0.0003415607063630457,4.19608100209733e-06
0.05858924763769681,0.03500137294041561,0.018647003336282737,0.02871160344840106,0.010674957337601052,-0.03382932283263967,-0.02062181641348746,-0.001167360605341276,-0.013669856027222446,-0.011473302361443992,1.2263157894736842,0.00033645974735364,0.0001462644172080693
0.041399925438779205,0.07414396756020605,0.024782607048076156,0.013147988562925665,0.006198689677795853,-0.03256652353494171,0.022771295382522472,0.015152991748399559,-0.002420501142629506,-0.0037766258519779643,2.1515151515151514,0.0007344119870181832,0.0004571760824753437
0.07158093602933542,0.019272212273267707,0.02108108504104042,0.019912509790304584,0.00826832234021955,-0.02011937967538917,-0.009131760908670138,-0.012007948881612975,-0.003980398843236977,-0.008010286219477396,1.5633802816901408,0.0006195219002884921,3.631747374084942e-05
0.03289270617261031,0.03697427116808027,0.026463918620479098,0.04982066766503831,0.0070722270908933245,-0.032472628474948285,-0.01182237358546431,0.02130823229332749,-0.01230906458559013,-0.004696085231573038,1.5416666666666667,0.0002464937876978738,0.00037549411045013556
0.05131147108303017,0.032682545327659476,0.01741017501471014,0.025629520199520733,0.022368872999314428,-0.04219749466257701,-0.02583795444928105,-0.005412178168696162,-0.0009605734568565457,-0.038813232726657695,1.532934131736527,0.0001742855885696893,0.00035527281384476546
0.027158828183355667,0.033667943431167545,0.023003880903163843,0.029280274356036425,0.00567285770002719,-0.013871521178429205,-0.01402741961098784,0.014305461523968882,-0.0029211232466878827,-0.003336031302309497,1.3738317757009346,0.00011697729627528966,0.00013367159086634446
0.03808107759116147,0.02573941701396411,0.025410432023973806,0.03949497242309148,0.007859319469547953,-0.013894520198238124,0.001604636879239922,0.01444199553529935,-0.009096376411195045,-0.00667744559734832,2.5445544554455446,0.0001622233699666855,0.00012360648352048725
0.05889576983440015,0.042710662942835535,0.019950210172358804,0.026746042023989662,0.007562195702300457,-0.06920623821619523,-0.024858769950305944,0.002921496505004632,-0.009282170390320223,-0.006507415219928749,1.3568773234200744,0.0004011721703729487,0.0008143911687203824
0.02336480276954871,0.022557071907983752,0.02498214571311414,0.06260368794966929,0.006188145352250589,-0.015116225934043196,-0.003312268703176168,0.0013946029638961883,-0.03136882583560982,-0.0026668075151871453,1.6119402985074627,0.0004333429214935722,0.00017772803681700565
0.07747643438801032,0.025821365611279557,0.009757963757473202,0.014780192108232018,0.015118189282254646,-0.052958218963361156,0.0044742314909151605,0.011137526760467415,0.01516257041717119,-0.012058756078028374,1.55,0.0007810987167943332,0.0007723603948069437
0.060181232972465255,0.021972676123825474,0.022318771403568267,0.020964987277496648,0.00543187667383202,-0.04908648374054901,0.0037442347337211133,-0.0021522699092519962,-0.00011789100781888138,-0.010667399192583017,0.7724137931034483,0.00041159382446661155,0.000465658629801898
0.0615045790695174,0.013433279234950305,0.024320266727379216,0.03824244191184625,0.008657307170756696,-0.09891603886798458,-0.0035529926567115077,-0.007244156112038716,-0.030567359878796285,-0.008010751029458347,1.4137931034482758,0.0004549375272280572,0.0016124895192777117
0.03224595300355506,0.02824032306390547,0.026256880799932453,0.03208219020122173,0.005914624573215912,-0.029116503097651028,-0.010850780195732915,-0.0016810465678256273,-0.009369695813373395,-0.002757918715068902,2.0970873786407767,0.00011974468202790243,0.00012134074433227951
0.07453664482938206,0.01965623421395755,0.018216890977243903,0.03043018241697114,0.007362718619775071,-0.1376686817825201,-0.019770232206985885,0.0005558906696641332,-0.02058713594131288,-0.008082858021765617,1.791044776119403,0.0006854928079062589,0.003236753838799628
0.024698310429677073,0.07120407603065507,0.014327991836365846,0.025721208874929274,0.005207191635840313,-0.013325440501888044,0.0015862333369820636,-0.003377238605346226,-0.0010243847249331829,0.0031944611218129868,2.2388059701492535,0.0006472133988399908,4.230537282481115e-05
0.05157449613634841,0.02380983768423073,0.022098406052844854,0.027048739578111408,0.011625464083920345,-0.03409226427190007,-0.002041491187545139,0.009400149542411867,0.008042334168850085,0.0015174713215948363,1.3183673469387756,0.0002185549114228991,0.0003157017386876158
0.029107832027465745,0.05244635184012059,0.012813126911301572,0.034391606703533646,0.01612968776585425,-0.025074809395221543,-0.0030009277043111814,0.0007678322145749072,-0.002559726650856181,-0.013452503285050474,2.914285714285714,0.0002516174452095879,0.00011263410714618853
0.06133585944340936,0.0265828392467084,0.01613952147918021,0.03702074879550107,0.008352941081586747,-0.0919496552936548,-0.022016622869816798,-0.0001876364577235985,-0.02209683107694492,-0.007344500914735396,1.4662162162162162,0.00042588686693118894,0.001339449666505257
0.01957336373574095,0.0335934415499475,0.021392316315209034,0.04057933009163663,0.009119323082858018,-0.007400112389429204,-0.03511161802566486,0.010314508473036223,-0.016062950065838116,0.002831416673785745,0.6483516483516484,0.00015277806154511363,0.00031181434793840616
0.0592964294400895,0.026807780846708276,0.017428506122505023,0.03418002040209436,0.007278366905205576,-0.04136990610439627,-0.0023658428517553433,0.0004930038627762098,-0.012281049945990094,-0.0034359621251601412,1.270935960591133,0.0003888102180083738,0.0002961722067039874
0.0461345231230607,0.034859746910596484,0.011579297119180496,0.04587075161594237,0.005641729896736544,0.0012679380094619064,0.007374475690614936,-0.0017923999223643055,-0.013692633981218505,-0.004208881485222426,1.7946428571428572,0.0003653683465670531,5.9994756693518746e-05
