care_p,fairness_p,loyalty_p,authority_p,sanctity_p,care_sent,fairness_sent,loyalty_sent,authority_sent,sanctity_sent,moral_nonmoral_ratio,f_var,sent_var
0.13548847861088778,0.1039779130479752,0.09791358822846333,0.10448575515183826,0.08344649985462528,-0.1519638981043946,-0.12298180886760128,-0.10190735429407442,-0.10260882426048458,-0.11038620825972774,2.4177215189873418,0.0003614018849236459,0.0004330478850161967
0.11271369426565146,0.08739174654608438,0.09077641482812102,0.09835063882176068,0.06943492801420663,-0.14345943644257914,-0.06183535809712116,-0.04672222756091171,-0.06488811309160654,-0.08879797211226444,1.6699029126213591,0.00025023705632403815,0.0014409331950530682
0.114769234242502,0.10393248451881916,0.09407834997264299,0.09678224575006712,0.08919875817925504,-0.15734194717592273,-0.1324936348539151,-0.07407816465945227,-0.0916016735159616,-0.09868642327523786,0.7914110429447853,9.884360818529575e-05,0.001125141540893997
0.09014570724401691,0.08567546722166078,0.08608700811755446,0.09289699299981234,0.07070377732250491,-0.06973860620271335,-0.013824977714889662,0.019260512550170687,-0.030558562776399848,-0.05167583589862892,1.051948051948052,7.370220508197304e-05,0.0011837855742754418
0.09371510734951477,0.08862729875455086,0.09425377393725042,0.09460121772978003,0.07086982209227347,-0.10924809937969263,-0.057366681067989055,-0.013941411482746682,-0.03716556337148288,-0.08602351703459432,1.46448087431694,0.00010208250881894847,0.0014373831898320236
0.10725838941260521,0.11048451749932625,0.10667485085710891,0.1063315421026137,0.08670489942238996,-0.17008478403759436,-0.10215322538280584,-0.04838916185176304,-0.09282747961331396,-0.09999465462487667,1.2119205298013245,9.077031704751018e-05,0.0018988650652593019
0.12034382750087921,0.11200325496736332,0.0943109653984269,0.09695519817114281,0.08646925141054644,-0.014173460416294017,-0.001345423480402944,0.029855785711159342,0.0013902962049773626,-0.023983643287662518,2.098159509202454,0.00019058379662593433,0.0004143948440346304
0.12061212524009246,0.1023900249475458,0.09149985743783103,0.09619208638055915,0.08539185062892907,-0.1273714927961875,-0.08426699910655125,-0.059976422446830935,-0.08103193091597788,-0.14045636095176486,1.2263157894736842,0.00018191465451021602,0.00114640108212477
0.11730208381365724,0.1315268015972442,0.10521672070550957,0.09237484917850367,0.08961252848462192,-0.03866614909869744,0.037586102605482244,0.03329281172167768,-0.01594186105638847,-0.020943256449635933,2.1515151515151514,0.0003067207009220498,0.001176148564255726
0.11376818784415418,0.08752996550199205,0.08680254473731819,0.08461891293423271,0.0818949353826169,-0.09737565772022666,-0.1023759061252159,-0.056715536305927884,-0.044350285175306085,-0.11147439252538549,1.5633802816901408,0.00016791022668459827,0.0008940207242566659
