care.virtue,care.vice,authority.virtue,fairness.vice,fairness.virtue,loyalty.vice,loyalty.virtue,sanctity.virtue,authority.vice,sanctity.vice,moral_nonmoral_ratio,f_var
0.14285714285714285,0.6428571428571429,0.07142857142857142,0.0,0.0,0.0,0.07142857142857142,0.07142857142857142,0.0,0.0,0.0546875,0.03877551020408165
0.0,0.2727272727272727,0.45454545454545453,0.0,0.0,0.0,0.2727272727272727,0.0,0.0,0.0,0.041666666666666664,0.028374655647382913
0.05,0.3,0.1,0.05,0.1,0.0,0.2,0.0,0.0,0.2,0.07352941176470588,0.010555555555555556
0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.4444444444444444,0.0,0.2222222222222222,0.0,0.029315960912052116,0.028669410150891632
0.0,0.06896551724137931,0.5172413793103449,0.0,0.034482758620689655,0.0,0.3793103448275862,0.0,0.0,0.0,0.06872037914691943,0.03526225393050602
0.05555555555555555,0.16666666666666666,0.25,0.027777777777777776,0.08333333333333333,0.0,0.1388888888888889,0.25,0.027777777777777776,0.0,0.12080536912751678,0.00929355281207133
0.6415094339622641,0.11320754716981132,0.1320754716981132,0.0,0.0,0.0,0.11320754716981132,0.0,0.0,0.0,0.1172566371681416,0.03940113128436376
0.4444444444444444,0.1111111111111111,0.16666666666666666,0.0,0.0,0.0,0.1111111111111111,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.044444444444444446,0.01769547325102881
0.038461538461538464,0.0,0.038461538461538464,0.038461538461538464,0.5,0.0,0.34615384615384615,0.038461538461538464,0.0,0.0,0.09090909090909091,0.03063773833004603
0.5833333333333334,0.0,0.08333333333333333,0.0,0.0,0.0,0.25,0.0,0.08333333333333333,0.0,0.03409090909090909,0.03518518518518519
0.03571428571428571,0.21428571428571427,0.25,0.0,0.10714285714285714,0.0,0.39285714285714285,0.0,0.0,0.0,0.08284023668639054,0.019501133786848077
0.3142857142857143,0.17142857142857143,0.11428571428571428,0.0,0.0,0.0,0.22857142857142856,0.02857142857142857,0.0,0.14285714285714285,0.09020618556701031,0.0127437641723356
0.047619047619047616,0.047619047619047616,0.8095238095238095,0.0,0.0,0.0,0.047619047619047616,0.047619047619047616,0.0,0.0,0.043121149897330596,0.06271101033005794
0.0,0.05,0.5,0.0,0.05,0.0,0.2,0.2,0.0,0.0,0.05917159763313609,0.02611111111111112
0.08,0.16,0.1,0.02,0.08,0.0,0.48,0.02,0.02,0.04,0.08561643835616438,0.020177777777777777
0.041666666666666664,0.08333333333333333,0.375,0.0,0.125,0.0,0.3333333333333333,0.041666666666666664,0.0,0.0,0.0736196319018405,0.01975308641975309
0.5454545454545454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45454545454545453,0.03728813559322034,0.044903581267217635
0.4,0.1,0.1,0.0,0.0,0.0,0.35,0.0,0.0,0.05,0.08438818565400844,0.022777777777777782
0.1,0.4666666666666667,0.16666666666666666,0.0,0.0,0.03333333333333333,0.23333333333333334,0.0,0.0,0.0,0.07692307692307693,0.0234567901234568
0.0,0.0,0.7,0.1,0.0,0.0,0.2,0.0,0.0,0.0,0.032362459546925564,0.04888888888888889
0.024390243902439025,0.5609756097560976,0.21951219512195122,0.0,0.04878048780487805,0.0,0.0975609756097561,0.04878048780487805,0.0,0.0,0.12312312312312312,0.03086125983211052
0.2727272727272727,0.09090909090909091,0.18181818181818182,0.0,0.0,0.0,0.45454545454545453,0.0,0.0,0.0,0.026004728132387706,0.024701561065197428
0.4444444444444444,0.0,0.2222222222222222,0.0,0.0,0.0,0.18518518518518517,0.1111111111111111,0.0,0.037037037037037035,0.04990757855822551,0.02165828379820149
0.06382978723404255,0.1702127659574468,0.10638297872340426,0.0851063829787234,0.3191489361702128,0.0,0.23404255319148937,0.02127659574468085,0.0,0.0,0.12912087912087913,0.012076857300940599
0.2222222222222222,0.2222222222222222,0.4444444444444444,0.027777777777777776,0.0,0.0,0.027777777777777776,0.0,0.0,0.05555555555555555,0.1094224924012158,0.022325102880658438
0.06666666666666667,0.2,0.26666666666666666,0.0,0.0,0.0,0.26666666666666666,0.06666666666666667,0.0,0.13333333333333333,0.034482758620689655,0.012098765432098764
0.25,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.125,0.0,0.375,0.041666666666666664,0.0,0.08333333333333333,0.05491990846681922,0.014737654320987654
0.5227272727272727,0.0,0.25,0.0,0.09090909090909091,0.0,0.045454545454545456,0.0,0.022727272727272728,0.06818181818181818,0.07560137457044673,0.027915518824609735
0.1590909090909091,0.0,0.25,0.0,0.0,0.0,0.2727272727272727,0.29545454545454547,0.0,0.022727272727272728,0.07599309153713299,0.016666666666666666
0.4642857142857143,0.03571428571428571,0.17857142857142858,0.03571428571428571,0.10714285714285714,0.0,0.07142857142857142,0.10714285714285714,0.0,0.0,0.0625,0.01978458049886622
0.09090909090909091,0.022727272727272728,0.45454545454545453,0.045454545454545456,0.11363636363636363,0.0,0.13636363636363635,0.0,0.022727272727272728,0.11363636363636363,0.07308970099667775,0.018044077134986222
0.12,0.08,0.36,0.0,0.12,0.04,0.12,0.16,0.0,0.0,0.03881987577639751,0.011822222222222225
