care.virtue,fairness.virtue,loyalty.virtue,authority.virtue,sanctity.virtue,care.vice,fairness.vice,loyalty.vice,authority.vice,sanctity.vice,moral_nonmoral_ratio,f_var
0.010050724563897424,0.007087091682614356,0.012290073921623283,0.006541779274049121,0.0007853403141361256,0.06714230051289012,0.0201193665232112,0.009072680106266297,0.02476111367777453,0.001609202818382106,2.4177215189873418,0.0003793173308199969
0.005494812410431636,0.006633323039952872,0.007175681066079333,0.006936177650868749,0.0008074935400516796,0.05915480883059693,0.009387694487957362,0.02243540756378594,0.021208027605191186,0.001601619885132567,1.6699029126213591,0.00030378991909120863
0.002962717209445021,0.011010289082126201,0.009599463084905554,0.005252711731545526,0.0019871794871794872,0.05368980218865961,0.023175757400688994,0.015406090851534226,0.01630860512479971,0.014792622607077748,0.7914110429447853,0.00022424838201111276
0.003054540047142981,0.013070441564992801,0.010188359224730832,0.013893946391910526,0.002240882357841422,0.021463013254204973,0.012423423348440253,0.011644249658810309,0.02719827815398972,0.010296309067622836,1.051948051948052,5.60028200579653e-05
0.008475928435119375,0.009680529659507513,0.012314392884157319,0.022428262321881925,0.002606025210282157,0.027272701756412273,0.018367578912215795,0.01614151160725681,0.014550792012779213,0.003487384653723677,1.46448087431694,6.237023888460158e-05
0.005023224518518826,0.011645026224476393,0.014190750695004565,0.010902807338321737,0.005388613675003877,0.030965876989671227,0.03010112780057236,0.020129446091799178,0.020503453908943512,0.008303708220247093,1.2119205298013245,8.88763699522119e-05
0.026118740019746796,0.01453744512147704,0.007596547782399019,0.015187658189383958,0.005654417733249018,0.03449648715826112,0.01683457791065597,0.013725628919802602,0.015513253060857705,0.005463522094433745,2.098159509202454,8.218968779857301e-05
0.01818120743526246,0.013317060181102703,0.00944227232763439,0.0057716420717352414,0.001991239584441759,0.040408040202434346,0.02168431275931291,0.009204731008648352,0.022939961376665815,0.008683717753159296,1.2263157894736842,0.00012497104875861052
0.010261703850018873,0.04905149017471076,0.011088963009833528,0.006138381594356193,0.003088692574534428,0.03113822158876034,0.0250924773854953,0.01369364403824263,0.007009606968569469,0.0031099971032614243,2.1515151515151514,0.00021972528253321572
0.03358583279540831,0.007283879587411539,0.007603388923776636,0.005503111167429834,0.0005005005005005005,0.03799510323392718,0.011988332685856173,0.013477696117263792,0.01440939862287475,0.00776782183971905,1.5633802816901408,0.00014923914147774262
0.00660939606861027,0.01417561199994222,0.01738194638690322,0.019653324723766623,0.0009234234234234233,0.02628331010400004,0.022798659168138048,0.009081972233575876,0.030167342941271706,0.006148803667469901,1.5416666666666667,9.189631863595194e-05
0.007845646725259607,0.007760808031885683,0.006630443752375454,0.012345891266693235,0.0,0.04346582435777057,0.024921737295773783,0.010779731262334682,0.013283628932827496,0.022368872999314428,1.532934131736527,0.0001543832955600451
0.012403101722823752,0.014554042987725033,0.013250624181607648,0.011025786779008022,0.0016113418865102952,0.014755726460531913,0.019113900443442515,0.009753256721556195,0.018254487577028414,0.004061515813516895,1.3738317757009346,3.1373631940255996e-05
0.007642492544103236,0.013827995733582564,0.014460462814134434,0.014781661934304947,0.003422683383772878,0.030438585047058236,0.011911421280381553,0.01094996920983937,0.024713310488786545,0.004436636085775075,2.5445544554455446,7.13454377412287e-05
0.01571830607406427,0.010179157564712452,0.00945841955229495,0.008635192618200692,0.0029418972141952,0.043177463760335884,0.0325315053781231,0.010491790620063855,0.018110849405788988,0.004620298488105256,1.3568773234200744,0.00016399969073661896
0.006078882756017486,0.008925542133681809,0.010807591574204163,0.01556320366225107,0.0007926523195008354,0.017285920013531235,0.013631529774301935,0.014174554138909981,0.047040484287418236,0.005395493032749754,1.6119402985074627,0.0001613587480465809
0.025409608455016268,0.017049203830717778,0.00860032140570879,0.010134762363990872,0.003067729054893239,0.05206682593299409,0.008772161780561784,0.0011576423517644116,0.0046454297442411465,0.012050460227361403,1.55,0.00022609595774292755
0.007457998810585787,0.011843516300626657,0.006569950971759734,0.01121860162138601,0.0,0.05272323416187947,0.010129159823198815,0.015748820431808534,0.009746385656110636,0.00543187667383202,0.7724137931034483,0.0002118988997788278
0.002181683458265566,0.005806149700287358,0.008054729130978811,0.00598200610520988,0.00036403349108117945,0.059322895611251855,0.007627129534662951,0.016265537596400405,0.03226043580663637,0.008293273679675518,1.4137931034482758,0.0003282794608877273
