care.virtue,fairness.virtue,loyalty.virtue,authority.virtue,sanctity.virtue,care.vice,fairness.vice,loyalty.vice,authority.vice,sanctity.vice,moral_nonmoral_ratio,f_var
0.02177934807969468,0.021533649519829036,0.03400704980905518,0.022966691320070023,0.019688848446722716,0.11280259572413477,0.08214676400220906,0.06390653841940827,0.08042624366029492,0.06222122109562705,2.4177215189873418,0.0010791145268847836
0.01960525299861714,0.0297667903387635,0.03589182149416496,0.029406906831703626,0.02793248249444619,0.0929076667538275,0.056935655191437985,0.05383010176988861,0.06744170310572538,0.03990516037596373,1.6699029126213591,0.000504244110632866
0.020196198958870246,0.028297426620269028,0.03017755349031295,0.03187721361075684,0.025163444837895416,0.09360072269778635,0.07563505789855018,0.0631623044029176,0.06383812067460203,0.06339357781590325,0.7914110429447853,0.0006441804915244526
0.02339136366963543,0.037494673679910044,0.040412061564456356,0.03463074079206676,0.028298702804686788,0.06647708251040478,0.04744266201014497,0.0454620900184025,0.05811383641746973,0.04157568225863133,1.051948051948052,0.00016784623216848244
0.021150590014353654,0.03350925201676468,0.04339224424692294,0.0468726354610247,0.022971922679523984,0.07206118117316178,0.05500830134709275,0.05076824610823786,0.04685105011644728,0.047824735818953766,1.46448087431694,0.0002289016419842716
0.020643022628782797,0.029470991763224697,0.040921605456171746,0.035412644254439574,0.027062417955850696,0.0861510394061593,0.07950210751136867,0.06575324540093727,0.07091889784817416,0.05838906194878711,1.2119205298013245,0.0005575323767767829
0.04728417336578926,0.045035322807663,0.0453510306907968,0.03886118232905419,0.03931749041655869,0.07300232126041953,0.06667642324557099,0.048625765952408764,0.057233781909410746,0.04697812428784331,2.098159509202454,0.0001283761438343318
0.030739262292894982,0.03792934128414097,0.0352370571109685,0.02309016982290382,0.02234368027613621,0.08778996730207005,0.0638571428908726,0.05069990828328379,0.07120946405102502,0.06103256680116046,1.2263157894736842,0.0004877726632647016
0.04735360212726231,0.07069427397811004,0.04748830839995845,0.03953803526657673,0.032265591587751025,0.06981985605130589,0.06057644567291145,0.05744812360819289,0.05061249681736376,0.0573469368968709,2.1515151515151514,0.00015224352525096025
0.0415330258064213,0.022251494495542146,0.03492271407607597,0.03240341726830388,0.01556236917142234,0.07134188081010186,0.0630426307419825,0.048177556958968595,0.05195052481272278,0.06516984845364926,1.5633802816901408,0.0003488496114569422
