care.virtue,fairness.virtue,loyalty.virtue,authority.virtue,sanctity.virtue,care.vice,fairness.vice,loyalty.vice,authority.vice,sanctity.vice,moral,moral_nonmoral_ratio,f_var
0.16666666666666666,0.08333333333333333,0.0,0.0,0.0,0.5833333333333334,0.0,0.08333333333333333,0.0,0.0,0.08333333333333333,0.046511627906976744,0.033101851851851855
0.125,0.0,0.25,0.5,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0299625468164794,0.027083333333333338
0.0,0.125,0.125,0.125,0.0,0.5,0.0,0.0,0.0,0.125,0.0,0.028169014084507043,0.023611111111111117
0.0,0.0,0.5,0.25,0.0,0.08333333333333333,0.0,0.0,0.08333333333333333,0.0,0.08333333333333333,0.039473684210526314,0.02692901234567902
0.16,0.0,0.36,0.24,0.0,0.12,0.04,0.0,0.04,0.0,0.08,0.05868544600938967,0.015360000000000004
0.0,0.09523809523809523,0.14285714285714285,0.2857142857142857,0.0,0.23809523809523808,0.0,0.0,0.047619047619047616,0.047619047619047616,0.19047619047619047,0.0670926517571885,0.010985134794658603
0.5483870967741935,0.0,0.1935483870967742,0.0967741935483871,0.0,0.12903225806451613,0.0,0.0,0.0,0.03225806451612903,0.0,0.06540084388185655,0.029471615215631866
0.6666666666666666,0.0,0.13333333333333333,0.06666666666666667,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.06666666666666667,0.03676470588235294,0.04266666666666666
0.0,0.5714285714285714,0.38095238095238093,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07216494845360824,0.041546989166036795
0.0,0.0,0.2857142857142857,0.5714285714285714,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0196078431372549,0.03650793650793651
0.11764705882352941,0.0,0.35294117647058826,0.17647058823529413,0.0,0.29411764705882354,0.0,0.058823529411764705,0.0,0.0,0.0,0.04871060171919771,0.017723952326028452
0.6428571428571429,0.0,0.07142857142857142,0.14285714285714285,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.034229828850855744,0.03990929705215421
0.15,0.0,0.0,0.5,0.0,0.05,0.0,0.0,0.0,0.0,0.3,0.040983606557377046,0.025111111111111105
0.09090909090909091,0.0,0.18181818181818182,0.2727272727272727,0.2727272727272727,0.18181818181818182,0.0,0.09090909090909091,0.0,0.0,0.0,0.03170028818443804,0.01248852157943067
0.02040816326530612,0.04081632653061224,0.14285714285714285,0.20408163265306123,0.0,0.46938775510204084,0.0,0.061224489795918366,0.02040816326530612,0.0,0.04081632653061224,0.08376068376068375,0.021847378407145172
0.0,0.14285714285714285,0.3333333333333333,0.09523809523809523,0.0,0.09523809523809523,0.0,0.047619047619047616,0.23809523809523808,0.0,0.09523809523809523,0.06382978723404255,0.013101536911060717
0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.009900990099009901,0.05061728395061728
0.0,0.0,0.25,0.25,0.0,0.25,0.0,0.0,0.125,0.125,0.0,0.0321285140562249,0.013194444444444446
0.13636363636363635,0.0,0.09090909090909091,0.09090909090909091,0.0,0.5454545454545454,0.0,0.045454545454545456,0.0,0.0,0.09090909090909091,0.05527638190954774,0.028007346189164364
0.3125,0.0,0.4375,0.1875,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.052805280528052806,0.025347222222222226
0.13157894736842105,0.0,0.13157894736842105,0.10526315789473684,0.0,0.5526315789473685,0.0,0.07894736842105263,0.0,0.0,0.0,0.1130952380952381,0.028593413357956305
0.18181818181818182,0.0,0.6363636363636364,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.09090909090909091,0.026004728132387706,0.040404040404040394
0.21052631578947367,0.0,0.21052631578947367,0.21052631578947367,0.05263157894736842,0.0,0.0,0.0,0.0,0.05263157894736842,0.2631578947368421,0.03460837887067395,0.009356725146198829
0.3142857142857143,0.05714285714285714,0.14285714285714285,0.22857142857142856,0.0,0.2,0.0,0.05714285714285714,0.0,0.0,0.0,0.09308510638297872,0.01310657596371882
0.0,0.0,0.16666666666666666,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.016713091922005572,0.06913580246913582
0.125,0.0,0.25,0.25,0.0,0.125,0.0,0.0,0.0,0.0,0.25,0.01809954751131222,0.011111111111111112
